denominazione_regione,data,ML,Low_90,High_90,Low_50,High_50
Marche,2020-04-25 17:00:00,0.62,0.03,1.24,0.27,0.8200000000000001
Molise,2020-03-26 17:00:00,3.0,0.86,6.84,1.86,4.2700000000000005
Molise,2020-03-27 17:00:00,2.2800000000000002,0.8,4.19,1.57,2.99
Molise,2020-03-28 17:00:00,1.9000000000000001,0.65,3.42,1.26,2.42
Molise,2020-03-29 17:00:00,1.78,0.6,3.15,1.24,2.3000000000000003
Molise,2020-03-30 17:00:00,1.61,0.44,2.83,1.08,2.07
Molise,2020-03-31 17:00:00,1.55,0.4,2.72,0.98,1.95
Molise,2020-04-01 17:00:00,1.6500000000000001,0.47000000000000003,2.79,1.12,2.08
Molise,2020-04-02 17:00:00,1.72,0.55,2.83,1.2,2.14
Molise,2020-04-03 17:00:00,1.69,0.56,2.77,1.2,2.11
Molise,2020-04-04 17:00:00,1.61,0.52,2.66,1.07,1.96
Molise,2020-04-05 17:00:00,1.41,0.31,2.38,0.89,1.76
Molise,2020-04-06 17:00:00,1.2,0.1,2.07,0.73,1.58
Molise,2020-04-07 17:00:00,1.05,0.03,1.9100000000000001,0.52,1.37
Molise,2020-04-08 17:00:00,0.9,0.0,1.79,0.39,1.22
Molise,2020-04-09 17:00:00,0.88,0.0,1.8,0.37,1.21
Molise,2020-04-10 17:00:00,0.9500000000000001,0.0,1.8800000000000001,0.43,1.3
Molise,2020-04-11 17:00:00,0.9400000000000001,0.0,1.8900000000000001,0.36,1.24
Molise,2020-04-12 17:00:00,0.8200000000000001,0.0,1.83,0.26,1.12
Molise,2020-04-13 17:00:00,0.68,0.0,1.78,0.2,1.03
Molise,2020-04-14 17:00:00,0.52,0.0,1.73,0.14,0.9400000000000001
Molise,2020-04-15 17:00:00,0.51,0.0,1.76,0.12,0.93
Molise,2020-04-16 17:00:00,0.51,0.0,1.78,0.16,0.97
Molise,2020-04-17 17:00:00,0.63,0.0,1.87,0.2,1.06
Molise,2020-04-18 17:00:00,0.63,0.0,1.8800000000000001,0.16,1.03
Molise,2020-04-19 17:00:00,0.63,0.0,1.8900000000000001,0.18,1.05
Molise,2020-04-20 17:00:00,0.51,0.0,1.82,0.12,0.9500000000000001
Molise,2020-04-21 17:00:00,0.5,0.0,1.84,0.18,1.01
Molise,2020-04-22 17:00:00,0.44,0.0,1.78,0.13,0.92
Molise,2020-04-23 17:00:00,0.44,0.0,1.8,0.11,0.91
Molise,2020-04-24 17:00:00,0.44,0.0,1.82,0.1,0.91
Molise,2020-04-25 17:00:00,0.52,0.0,1.92,0.13,1.0
P.A. Bolzano,2020-03-11 17:00:00,3.0,0.86,6.84,1.86,4.2700000000000005
P.A. Bolzano,2020-03-12 17:00:00,2.56,1.1400000000000001,4.11,1.86,3.11
P.A. Bolzano,2020-03-13 17:00:00,2.22,1.04,3.36,1.6400000000000001,2.61
P.A. Bolzano,2020-03-14 17:00:00,1.98,0.96,2.96,1.5,2.33
P.A. Bolzano,2020-03-15 17:00:00,1.97,1.01,2.84,1.59,2.34
P.A. Bolzano,2020-03-16 17:00:00,2.0100000000000002,1.12,2.81,1.58,2.2800000000000002
P.A. Bolzano,2020-03-17 17:00:00,2.1,1.26,2.83,1.69,2.34
P.A. Bolzano,2020-03-18 17:00:00,2.08,1.3,2.7600000000000002,1.73,2.33
P.A. Bolzano,2020-03-19 17:00:00,1.98,1.27,2.64,1.62,2.19
P.A. Bolzano,2020-03-20 17:00:00,1.78,1.1,2.41,1.46,2.0
P.A. Bolzano,2020-03-21 17:00:00,1.52,0.85,2.13,1.2,1.73
P.A. Bolzano,2020-03-22 17:00:00,1.3,0.64,1.9100000000000001,0.96,1.49
P.A. Bolzano,2020-03-23 17:00:00,1.1500000000000001,0.47000000000000003,1.75,0.8200000000000001,1.35
P.A. Bolzano,2020-03-24 17:00:00,1.08,0.39,1.68,0.78,1.31
P.A. Bolzano,2020-03-25 17:00:00,1.19,0.51,1.81,0.85,1.3900000000000001
P.A. Bolzano,2020-03-26 17:00:00,1.35,0.66,1.95,1.03,1.56
P.A. Bolzano,2020-03-27 17:00:00,1.47,0.8,2.06,1.1500000000000001,1.67
P.A. Bolzano,2020-03-28 17:00:00,1.45,0.8300000000000001,2.05,1.12,1.6300000000000001
P.A. Bolzano,2020-03-29 17:00:00,1.3,0.68,1.8800000000000001,0.98,1.48
P.A. Bolzano,2020-03-30 17:00:00,1.1300000000000001,0.49,1.69,0.87,1.36
P.A. Bolzano,2020-03-31 17:00:00,0.93,0.29,1.49,0.62,1.12
P.A. Bolzano,2020-04-01 17:00:00,0.74,0.12,1.29,0.46,0.96
P.A. Bolzano,2020-04-02 17:00:00,0.65,0.02,1.17,0.32,0.8300000000000001
P.A. Bolzano,2020-04-03 17:00:00,0.66,0.03,1.2,0.33,0.85
P.A. Bolzano,2020-04-04 17:00:00,0.79,0.13,1.3800000000000001,0.48,1.02
P.A. Bolzano,2020-04-05 17:00:00,0.85,0.14,1.43,0.51,1.06
P.A. Bolzano,2020-04-06 17:00:00,0.9,0.18,1.49,0.59,1.1400000000000001
P.A. Bolzano,2020-04-07 17:00:00,0.87,0.15,1.45,0.55,1.1
P.A. Bolzano,2020-04-08 17:00:00,0.79,0.1,1.37,0.46,1.01
P.A. Bolzano,2020-04-09 17:00:00,0.8200000000000001,0.14,1.43,0.47000000000000003,1.03
P.A. Bolzano,2020-04-10 17:00:00,0.85,0.14,1.45,0.52,1.08
P.A. Bolzano,2020-04-11 17:00:00,0.9,0.18,1.51,0.53,1.1
P.A. Bolzano,2020-04-12 17:00:00,0.99,0.27,1.62,0.63,1.2
P.A. Bolzano,2020-04-13 17:00:00,0.92,0.19,1.52,0.59,1.1500000000000001
P.A. Bolzano,2020-04-14 17:00:00,0.78,0.07,1.35,0.42,0.98
P.A. Bolzano,2020-04-15 17:00:00,0.67,0.0,1.23,0.33,0.88
P.A. Bolzano,2020-04-16 17:00:00,0.46,0.0,1.1,0.14,0.65
P.A. Bolzano,2020-04-17 17:00:00,0.45,0.0,1.12,0.17,0.68
P.A. Bolzano,2020-04-18 17:00:00,0.45,0.0,1.1300000000000001,0.14,0.66
P.A. Bolzano,2020-04-19 17:00:00,0.36,0.0,1.06,0.12,0.6
P.A. Bolzano,2020-04-20 17:00:00,0.32,0.0,1.03,0.07,0.53
P.A. Bolzano,2020-04-21 17:00:00,0.27,0.0,0.97,0.01,0.44
P.A. Bolzano,2020-04-22 17:00:00,0.29,0.0,0.99,0.06,0.49
P.A. Bolzano,2020-04-23 17:00:00,0.29,0.0,1.0,0.04,0.48
P.A. Bolzano,2020-04-24 17:00:00,0.35000000000000003,0.0,1.1,0.06,0.55
P.A. Bolzano,2020-04-25 17:00:00,0.41000000000000003,0.0,1.19,0.13,0.66
P.A. Trento,2020-03-11 17:00:00,3.0,0.86,6.84,1.86,4.2700000000000005
P.A. Trento,2020-03-12 17:00:00,3.98,2.32,5.49,3.29,4.6000000000000005
P.A. Trento,2020-03-13 17:00:00,3.17,2.0100000000000002,4.21,2.63,3.54
P.A. Trento,2020-03-14 17:00:00,2.62,1.6600000000000001,3.45,2.17,2.91
P.A. Trento,2020-03-15 17:00:00,2.19,1.3800000000000001,2.95,1.8,2.45
P.A. Trento,2020-03-16 17:00:00,1.79,1.03,2.49,1.46,2.06
P.A. Trento,2020-03-17 17:00:00,1.61,0.86,2.27,1.27,1.85
P.A. Trento,2020-03-18 17:00:00,1.7,0.97,2.34,1.3900000000000001,1.95
P.A. Trento,2020-03-19 17:00:00,1.8800000000000001,1.21,2.52,1.57,2.11
P.A. Trento,2020-03-20 17:00:00,2.06,1.3900000000000001,2.64,1.78,2.29
P.A. Trento,2020-03-21 17:00:00,2.0,1.36,2.54,1.68,2.17
P.A. Trento,2020-03-22 17:00:00,1.74,1.1400000000000001,2.27,1.44,1.9100000000000001
P.A. Trento,2020-03-23 17:00:00,1.43,0.85,1.96,1.1500000000000001,1.61
P.A. Trento,2020-03-24 17:00:00,1.17,0.56,1.68,0.89,1.35
P.A. Trento,2020-03-25 17:00:00,1.05,0.44,1.57,0.74,1.21
P.A. Trento,2020-03-26 17:00:00,0.97,0.38,1.52,0.7000000000000001,1.17
P.A. Trento,2020-03-27 17:00:00,1.01,0.39,1.55,0.71,1.19
P.A. Trento,2020-03-28 17:00:00,0.97,0.33,1.5,0.6900000000000001,1.17
P.A. Trento,2020-03-29 17:00:00,0.96,0.34,1.51,0.64,1.1300000000000001
P.A. Trento,2020-03-30 17:00:00,1.02,0.39,1.57,0.71,1.2
P.A. Trento,2020-03-31 17:00:00,1.09,0.44,1.62,0.8300000000000001,1.31
P.A. Trento,2020-04-01 17:00:00,1.1500000000000001,0.55,1.71,0.86,1.34
P.A. Trento,2020-04-02 17:00:00,1.1500000000000001,0.54,1.69,0.89,1.36
P.A. Trento,2020-04-03 17:00:00,1.06,0.47000000000000003,1.61,0.78,1.25
P.A. Trento,2020-04-04 17:00:00,0.99,0.36,1.51,0.72,1.19
P.A. Trento,2020-04-05 17:00:00,0.92,0.3,1.45,0.61,1.09
P.A. Trento,2020-04-06 17:00:00,0.9400000000000001,0.32,1.48,0.65,1.1300000000000001
P.A. Trento,2020-04-07 17:00:00,1.04,0.4,1.57,0.75,1.23
P.A. Trento,2020-04-08 17:00:00,1.19,0.59,1.74,0.87,1.35
P.A. Trento,2020-04-09 17:00:00,1.22,0.63,1.76,0.92,1.3900000000000001
P.A. Trento,2020-04-10 17:00:00,1.1400000000000001,0.55,1.67,0.87,1.33
P.A. Trento,2020-04-11 17:00:00,0.92,0.32,1.44,0.66,1.12
P.A. Trento,2020-04-12 17:00:00,0.72,0.11,1.21,0.42,0.89
P.A. Trento,2020-04-13 17:00:00,0.55,0.02,1.04,0.26,0.72
P.A. Trento,2020-04-14 17:00:00,0.43,0.0,0.96,0.18,0.62
P.A. Trento,2020-04-15 17:00:00,0.41000000000000003,0.0,0.97,0.18,0.62
P.A. Trento,2020-04-16 17:00:00,0.61,0.02,1.1500000000000001,0.31,0.81
P.A. Trento,2020-04-17 17:00:00,0.76,0.14,1.35,0.41000000000000003,0.9400000000000001
P.A. Trento,2020-04-18 17:00:00,0.81,0.13,1.37,0.48,1.01
P.A. Trento,2020-04-19 17:00:00,0.71,0.08,1.27,0.41000000000000003,0.93
P.A. Trento,2020-04-20 17:00:00,0.61,0.02,1.16,0.33,0.84
P.A. Trento,2020-04-21 17:00:00,0.54,0.0,1.11,0.2,0.71
P.A. Trento,2020-04-22 17:00:00,0.55,0.0,1.1300000000000001,0.28,0.79
P.A. Trento,2020-04-23 17:00:00,0.62,0.02,1.21,0.27,0.81
P.A. Trento,2020-04-24 17:00:00,0.77,0.12,1.4000000000000001,0.45,1.01
P.A. Trento,2020-04-25 17:00:00,0.92,0.18,1.53,0.59,1.16
Piemonte,2020-03-05 17:00:00,3.0,0.86,6.84,1.86,4.2700000000000005
Piemonte,2020-03-06 17:00:00,2.87,1.52,4.25,2.23,3.37
Piemonte,2020-03-07 18:00:00,2.7800000000000002,1.7,3.74,2.31,3.15
Piemonte,2020-03-08 18:00:00,2.35,1.49,3.16,1.95,2.64
Piemonte,2020-03-09 18:00:00,1.99,1.2,2.69,1.6600000000000001,2.27
Piemonte,2020-03-10 18:00:00,2.08,1.34,2.72,1.73,2.3000000000000003
Piemonte,2020-03-11 17:00:00,1.95,1.26,2.5500000000000003,1.6400000000000001,2.17
Piemonte,2020-03-12 17:00:00,2.06,1.44,2.65,1.76,2.2600000000000002
Piemonte,2020-03-13 17:00:00,2.45,1.84,2.97,2.15,2.62
Piemonte,2020-03-14 17:00:00,2.59,2.04,3.0700000000000003,2.31,2.74
Piemonte,2020-03-15 17:00:00,2.71,2.2,3.14,2.46,2.85
Piemonte,2020-03-16 17:00:00,2.72,2.29,3.14,2.52,2.87
Piemonte,2020-03-17 17:00:00,2.5,2.07,2.86,2.2800000000000002,2.61
Piemonte,2020-03-18 17:00:00,2.18,1.77,2.52,1.98,2.29
Piemonte,2020-03-19 17:00:00,1.8800000000000001,1.49,2.21,1.68,1.98
Piemonte,2020-03-20 17:00:00,1.53,1.1400000000000001,1.85,1.36,1.6500000000000001
Piemonte,2020-03-21 17:00:00,1.3900000000000001,1.03,1.73,1.21,1.5
Piemonte,2020-03-22 17:00:00,1.29,0.91,1.61,1.1,1.3900000000000001
Piemonte,2020-03-23 17:00:00,1.21,0.8200000000000001,1.52,1.02,1.31
Piemonte,2020-03-24 17:00:00,1.18,0.81,1.5,0.98,1.27
Piemonte,2020-03-25 17:00:00,1.18,0.8,1.49,0.98,1.27
Piemonte,2020-03-26 17:00:00,1.05,0.68,1.37,0.9,1.18
Piemonte,2020-03-27 17:00:00,1.05,0.67,1.36,0.9,1.18
Piemonte,2020-03-28 17:00:00,1.01,0.63,1.32,0.8,1.09
Piemonte,2020-03-29 17:00:00,1.0,0.62,1.31,0.8,1.09
Piemonte,2020-03-30 17:00:00,1.0,0.62,1.31,0.8,1.09
Piemonte,2020-03-31 17:00:00,0.98,0.61,1.3,0.78,1.07
Piemonte,2020-04-01 17:00:00,1.1,0.72,1.41,0.9,1.19
Piemonte,2020-04-02 17:00:00,1.2,0.8300000000000001,1.51,1.03,1.31
Piemonte,2020-04-03 17:00:00,1.26,0.9,1.57,1.07,1.35
Piemonte,2020-04-04 17:00:00,1.16,0.81,1.47,1.01,1.28
Piemonte,2020-04-05 17:00:00,1.03,0.68,1.34,0.88,1.1500000000000001
Piemonte,2020-04-06 17:00:00,0.9,0.53,1.2,0.71,0.99
Piemonte,2020-04-07 17:00:00,0.8,0.43,1.11,0.62,0.9
Piemonte,2020-04-08 17:00:00,0.96,0.6,1.28,0.79,1.07
Piemonte,2020-04-09 17:00:00,1.18,0.8300000000000001,1.5,1.0,1.28
Piemonte,2020-04-10 17:00:00,1.27,0.92,1.58,1.12,1.3900000000000001
Piemonte,2020-04-11 17:00:00,1.24,0.89,1.54,1.06,1.33
Piemonte,2020-04-12 17:00:00,1.03,0.68,1.33,0.86,1.1300000000000001
Piemonte,2020-04-13 17:00:00,0.9500000000000001,0.61,1.26,0.78,1.05
Piemonte,2020-04-14 17:00:00,0.99,0.63,1.29,0.8300000000000001,1.1
Piemonte,2020-04-15 17:00:00,1.01,0.64,1.3,0.84,1.11
Piemonte,2020-04-16 17:00:00,1.1400000000000001,0.79,1.44,0.97,1.24
Piemonte,2020-04-17 17:00:00,1.02,0.67,1.32,0.85,1.12
Piemonte,2020-04-18 17:00:00,0.85,0.51,1.16,0.68,0.9500000000000001
Piemonte,2020-04-19 17:00:00,0.78,0.44,1.1,0.59,0.87
Piemonte,2020-04-20 17:00:00,0.66,0.28,0.96,0.48,0.76
Piemonte,2020-04-21 17:00:00,0.84,0.46,1.1500000000000001,0.68,0.96
Piemonte,2020-04-22 17:00:00,0.99,0.63,1.31,0.8200000000000001,1.1
Piemonte,2020-04-23 17:00:00,1.07,0.7000000000000001,1.3800000000000001,0.9,1.18
Piemonte,2020-04-24 17:00:00,1.1500000000000001,0.79,1.46,0.97,1.25
Piemonte,2020-04-25 17:00:00,1.07,0.7000000000000001,1.37,0.88,1.16
Puglia,2020-03-12 17:00:00,3.0,0.86,6.84,1.86,4.2700000000000005
Puglia,2020-03-13 17:00:00,2.43,1.03,3.95,1.73,2.96
Puglia,2020-03-14 17:00:00,2.5500000000000003,1.33,3.72,2.0300000000000002,3.02
Puglia,2020-03-15 17:00:00,2.38,1.32,3.33,1.9000000000000001,2.73
Puglia,2020-03-16 17:00:00,2.36,1.42,3.19,1.93,2.66
Puglia,2020-03-17 17:00:00,2.36,1.54,3.12,1.99,2.64
Puglia,2020-03-18 17:00:00,2.2600000000000002,1.52,2.96,1.8800000000000001,2.48
Puglia,2020-03-19 17:00:00,2.16,1.45,2.79,1.85,2.4
Puglia,2020-03-20 17:00:00,2.09,1.44,2.7,1.79,2.31
Puglia,2020-03-21 17:00:00,1.87,1.21,2.42,1.55,2.05
Puglia,2020-03-22 17:00:00,1.72,1.1,2.27,1.45,1.93
Puglia,2020-03-23 17:00:00,1.51,0.89,2.04,1.25,1.72
Puglia,2020-03-24 17:00:00,1.41,0.8,1.94,1.12,1.59
Puglia,2020-03-25 17:00:00,1.34,0.74,1.87,1.04,1.51
Puglia,2020-03-26 17:00:00,1.28,0.67,1.8,1.04,1.5
Puglia,2020-03-27 17:00:00,1.31,0.71,1.83,1.03,1.49
Puglia,2020-03-28 17:00:00,1.29,0.6900000000000001,1.8,0.99,1.45
Puglia,2020-03-29 17:00:00,1.27,0.68,1.78,1.01,1.46
Puglia,2020-03-30 17:00:00,1.23,0.64,1.73,0.9500000000000001,1.4000000000000001
Puglia,2020-03-31 17:00:00,1.1300000000000001,0.5700000000000001,1.6500000000000001,0.84,1.29
Puglia,2020-04-01 17:00:00,1.03,0.44,1.53,0.75,1.2
Puglia,2020-04-02 17:00:00,0.92,0.34,1.43,0.65,1.1
Puglia,2020-04-03 17:00:00,0.79,0.23,1.32,0.5,0.96
Puglia,2020-04-04 17:00:00,0.72,0.14,1.23,0.41000000000000003,0.88
Puglia,2020-04-05 17:00:00,0.71,0.13,1.23,0.45,0.92
Puglia,2020-04-06 17:00:00,0.77,0.16,1.3,0.45,0.9400000000000001
Puglia,2020-04-07 17:00:00,0.86,0.23,1.4000000000000001,0.56,1.05
Puglia,2020-04-08 17:00:00,0.93,0.29,1.47,0.63,1.12
Puglia,2020-04-09 17:00:00,0.92,0.28,1.46,0.62,1.11
Puglia,2020-04-10 17:00:00,0.87,0.24,1.41,0.56,1.05
Puglia,2020-04-11 17:00:00,0.8200000000000001,0.18,1.35,0.53,1.02
Puglia,2020-04-12 17:00:00,0.74,0.13,1.28,0.47000000000000003,0.96
Puglia,2020-04-13 17:00:00,0.6900000000000001,0.08,1.22,0.37,0.87
Puglia,2020-04-14 17:00:00,0.64,0.02,1.1500000000000001,0.32,0.8200000000000001
Puglia,2020-04-15 17:00:00,0.66,0.05,1.2,0.33,0.84
Puglia,2020-04-16 17:00:00,0.8200000000000001,0.16,1.3900000000000001,0.48,1.01
Puglia,2020-04-17 17:00:00,0.9,0.21,1.47,0.5700000000000001,1.1
Puglia,2020-04-18 17:00:00,0.96,0.3,1.56,0.62,1.1500000000000001
Puglia,2020-04-19 17:00:00,0.99,0.31,1.57,0.6900000000000001,1.21
Puglia,2020-04-20 17:00:00,1.01,0.36,1.61,0.6900000000000001,1.21
Puglia,2020-04-21 17:00:00,0.98,0.3,1.55,0.65,1.17
Puglia,2020-04-22 17:00:00,0.9400000000000001,0.28,1.52,0.61,1.1300000000000001
Puglia,2020-04-23 17:00:00,0.85,0.18,1.41,0.52,1.04
Puglia,2020-04-24 17:00:00,0.79,0.12,1.34,0.48,1.0
Puglia,2020-04-25 17:00:00,0.67,0.03,1.2,0.33,0.85
Sardegna,2020-03-17 17:00:00,3.0,0.86,6.84,1.86,4.2700000000000005
Sardegna,2020-03-18 17:00:00,2.73,1.3,4.16,2.0300000000000002,3.23
Sardegna,2020-03-19 17:00:00,2.35,1.22,3.39,1.82,2.72
Sardegna,2020-03-20 17:00:00,1.97,1.03,2.86,1.52,2.2800000000000002
Sardegna,2020-03-21 17:00:00,1.68,0.85,2.5100000000000002,1.27,1.96
Sardegna,2020-03-22 17:00:00,1.37,0.53,2.11,0.99,1.6400000000000001
Sardegna,2020-03-23 17:00:00,1.18,0.36,1.9000000000000001,0.79,1.43
Sardegna,2020-03-24 17:00:00,1.12,0.31,1.84,0.72,1.36
Sardegna,2020-03-25 17:00:00,1.32,0.48,2.0300000000000002,0.92,1.56
Sardegna,2020-03-26 17:00:00,1.3800000000000001,0.5700000000000001,2.09,1.05,1.67
Sardegna,2020-03-27 17:00:00,1.3900000000000001,0.59,2.08,1.04,1.6500000000000001
Sardegna,2020-03-28 17:00:00,1.29,0.51,1.97,0.9400000000000001,1.54
Sardegna,2020-03-29 17:00:00,1.18,0.39,1.84,0.81,1.41
Sardegna,2020-03-30 17:00:00,1.04,0.28,1.71,0.66,1.26
Sardegna,2020-03-31 17:00:00,0.9400000000000001,0.16,1.58,0.59,1.19
Sardegna,2020-04-01 17:00:00,0.89,0.11,1.52,0.5,1.11
Sardegna,2020-04-02 17:00:00,0.96,0.17,1.62,0.58,1.2
Sardegna,2020-04-03 17:00:00,0.93,0.17,1.61,0.56,1.18
Sardegna,2020-04-04 17:00:00,0.84,0.06,1.47,0.45,1.07
Sardegna,2020-04-05 17:00:00,0.75,0.04,1.4000000000000001,0.41000000000000003,1.02
Sardegna,2020-04-06 17:00:00,0.7000000000000001,0.01,1.35,0.33,0.9400000000000001
Sardegna,2020-04-07 17:00:00,0.77,0.03,1.43,0.38,1.01
Sardegna,2020-04-08 17:00:00,0.87,0.07,1.54,0.46,1.11
Sardegna,2020-04-09 17:00:00,0.9500000000000001,0.15,1.6600000000000001,0.53,1.19
Sardegna,2020-04-10 17:00:00,0.92,0.13,1.62,0.54,1.19
